"Study","Study.year","Study.month","Duration.month","Latitude","Longitude","Family","Species","Herbivore","N.species","Leaf.age","No.plants","No.leaves","Units","damage","Region"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.029402006,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.029402006,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.024474125,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.015556917,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.026860161,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.006451291,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.043536005,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.049670201,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.06617506,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.000467424,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.002628314,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.002184183,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.012474761,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.005280725,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.013988738,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.003973227,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus mollior","all",1,"Mature",1,50,50,0.043314308,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus mollior","all",1,"Mature",1,50,50,0.022013254,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.043095849,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.010614155,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.002846057,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.001836971,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.008756485,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.007602489,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.046697897,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.001662283,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.002759426,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.002759426,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.026280299,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus trichocerasa","all",1,"Mature",1,50,50,0.026280299,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.007546325,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.000838222,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus mollior","all",1,"Mature",1,50,50,0.046103215,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus mollior","all",1,"Mature",1,50,50,0.01354616,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.010056918,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.002330065,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.045973031,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.001072964,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus mollior","all",1,"Mature",1,50,50,0.02100098,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus mollior","all",1,"Mature",1,50,50,0.016204625,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.018124973,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.002129774,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.010908799,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus badiopurpurea","all",1,"Mature",1,50,50,0.006402899,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.020360912,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.020360912,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.029438587,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus arfakensis","all",1,"Mature",1,50,50,0.029438587,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.059307889,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus hombroniana","all",1,"Mature",1,50,50,0.00130185,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus saccata","all",1,"Mature",1,50,50,0.00555392,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus saccata","all",1,"Mature",1,50,50,0.098986479,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.029930904,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.011989414,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus wassa","all",1,"Mature",1,50,50,0.028104575,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus wassa","all",1,"Mature",1,50,50,0.000180164,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.033094306,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus endochaete","all",1,"Mature",1,50,50,0.017119118,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus saccata","all",1,"Mature",1,50,50,0.006547439,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus saccata","all",1,"Mature",1,50,50,6.550017e-05,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus saccata","all",1,"Mature",1,50,50,0.002153841,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus saccata","all",1,"Mature",1,50,50,0.000180164,"Asia"
"10.1111/jbi.14686",2021,3,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.026336183,"Asia"
"10.1111/jbi.14686",2020,7,6,-5.779444444,145.1863889,"Ficaceae","Ficus iodotricha","all",1,"Mature",1,50,50,0.011795059,"Asia"
