"doi","study.year","latitude","longitude","elevation","MAT","MAP","soil.ph","litter.species","duration","nf","nc","kf","kc","sdf","sdc","yi","vi","invert.effect","weight","Region"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.358924728,1.551320411,0.185882772,0.284289276,0.132412701,0.013073368,0.124020597,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.270016649,1.94768508,0.043819892,0.140267106,0.427611519,0.001594246,0.34793532,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.078247305,1.164740694,0.131066641,0.37533073,0.077161625,0.029654224,0.074259781,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.084758964,1.32879417,0.279530512,0.329926336,0.202914083,0.032012896,0.183651623,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.039700214,1.501243509,0.180678325,0.289202456,0.367361355,0.016827536,0.30744066,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.255601629,1.444535176,0.116241193,0.104031586,0.140172749,0.0034393,0.130791932,2,"Americas"
"10.1111/j.1365-2745.2010.01671.x",2004,5.3,-52.917,"45",25.8,2914,4.8,"Mixture",0.56,4,4,1.008206548,1.517752413,0.114670123,0.342443823,0.409057507,0.015960741,0.33572397,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Platonia insignis",0.855,4,4,0.738714188,2.039563527,0.25976357,0.186787892,1.015580016,0.033010004,0.637807708,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Qualea rosea",0.855,4,4,0.860785003,2.039563527,0.081419135,0.163852607,0.86264634,0.003850191,0.577956268,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Goupia glabra",0.855,4,4,0.878447892,3.202874694,0.120614792,0.29332659,1.293647436,0.006809956,0.725731421,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Symphonia sp.",0.855,4,4,0.990531701,1.992431387,0.098272501,0.182471423,0.698869104,0.004557578,0.502852792,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Protium sagotianum",0.855,4,4,0.70752615,0.945655656,0.12490495,0.16840725,0.290103913,0.015719961,0.251814183,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Peltogyne venosa",0.855,4,4,0.884411908,1.25316307,0.15914413,0.240686115,0.348503177,0.017316949,0.294256327,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Caryocar glabrum",0.855,4,4,0.798157743,1.731496178,0.146008754,0.15857438,0.774434906,0.010462877,0.539035804,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Dicorynia guianensis",0.855,4,4,0.662260387,0.914620178,0.099647783,0.351128615,0.322850061,0.042506064,0.275917585,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Eperua falcata",0.855,4,4,1.044003549,1.22886507,0.097252885,0.291394541,0.163028147,0.016226465,0.150432725,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Vochysia tomentosa",0.855,4,4,0.25748309,0.581234611,0.188792896,0.160006617,0.814200433,0.153350323,0.557006611,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Hymenaea courbaril",0.855,4,4,1.092899701,1.261352962,0.114956814,0.259799778,0.143350484,0.0133718,0.133549661,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Simarouba amara",0.855,4,4,0.738714188,0.933147663,0.171023825,0.194213502,0.233652364,0.024229106,0.208363031,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Carapa procera",0.855,4,4,0.849148156,0.896406787,0.231953505,0.283667549,0.054160636,0.043689211,0.052720073,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Virola surinamensis",0.855,4,4,1.364609646,1.834376542,0.366682056,0.167996399,0.295836251,0.020147878,0.256090767,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Diplotropis purpurea",0.855,4,4,0.765366213,1.518246024,0.143942941,0.139044443,0.684956587,0.010939474,0.495887886,2,"Americas"
"10.1890/09-1076.1",2005,5.3,-52.917,"40",25.8,2900,4.7,"Sterculia pruriens",0.855,4,4,1.016962071,1.166477322,0.149244543,0.171719609,0.13716855,0.01080213,0.128176732,2,"Americas"
"10.1016/j.soilbio.2008.12.028",2021,21.933,101.183,"700",21.5,1550,4.5,"Mixture",1,10,10,0.832,1.109,0.126491106,0.316227766,0.287381547,0.010442258,0.249774572,5,"Asia"
"10.1016/j.soilbio.2008.12.028",2021,21.933,101.183,"700",21.5,1550,4.5,"Mixture",1,10,10,0.494,2.123,0.316227766,2.055480479,1.458049945,0.134717944,0.76731041,5,"Asia"
"10.1017/S0266467409990150",2001,-13.076,-52.386,"372",25.1,1500,4.95,"Mixture",0.67,10,12,1.605605234,1.701347975,0.19072166,0.122526562,0.057920085,0.001843193,0.056274638,5.454545455,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,21.2,-89.55,"5",26,760,7.5,"Laurus nobilis",0.74,3,3,0.661,0.783,0.065579045,0.071708931,0.169378856,0.00607677,0.155810983,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,-22.717,-49.217,"670",21.4,1303,6.1,"Laurus nobilis",0.74,3,3,1.03,0.778,0.102188225,0.071251019,-0.280587557,0.00607677,-0.323907455,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,12.917,77.25,"1200",21,1438,6.93,"Laurus nobilis",0.74,3,3,0.677,2.478,0.067166435,0.226940907,1.297535789,0.00607677,0.726795803,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,15.633,99.2,"600",23.5,1475,6.64,"Laurus nobilis",0.74,3,3,0.886,1.245,0.087901716,0.114019947,0.340173858,0.00607677,0.288353414,1.5,"Asia"
"10.1111/j.1365-2745.2009.01515.x",2003,10.833,-85.667,"320",25,1500,6.3,"Laurus nobilis",0.74,3,3,1.086,1.862,0.107744089,0.170526219,0.539149957,0.00607677,0.416756176,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,4.867,-74.367,"2800",11,1500,4.65,"Laurus nobilis",0.74,3,3,0.758,0.893,0.075202596,0.081782982,0.163903195,0.00607677,0.151175812,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,-15.783,-62.917,"400",23.6,1580,5.45,"Laurus nobilis",0.74,3,3,1.141,6.381,0.113200742,0.584386574,1.721419754,0.00607677,0.821187902,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,10.35,-85.35,"34",27,1700,NA,"Laurus nobilis",0.74,3,3,0.975,1.478,0.096731572,0.13535862,0.416007631,0.00607677,0.340324763,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,8.933,-79.55,"140",26.2,1870,NA,"Laurus nobilis",0.74,3,3,1.181,1.447,0.117169217,0.132519569,0.20313091,0.00607677,0.183828611,1.5,"Americas"
"10.1111/j.1365-2745.2009.01515.x",2003,9.15,-79.85,"120",26,2640,5.6,"Laurus nobilis",0.74,3,3,1.659,4.081,0.16459249,0.373747314,0.900127045,0.00607677,0.59348199,1.5,"Americas"
